1,5,8,11,8,8,9,12,13,13,9,8,11,12,13,6,9,10,6,7,9,16,14,16,11,10,15,13,16,18,15,19,22
5,1,4,7,4,4,6,9,11,10,7,7,9,10,11,7,7,7,5,6,11,15,12,13,10,9,14,10,12,14,13,16,19
8,4,1,6,5,5,6,7,9,9,7,11,12,12,10,8,8,6,9,10,13,19,11,10,10,13,16,7,10,12,12,14,18
11,7,6,1,6,5,4,3,5,7,5,9,10,10,7,13,12,9,10,9,17,17,13,12,13,12,14,9,7,9,10,10,16
8,4,5,6,1,3,5,7,9,9,6,9,10,10,9,9,10,8,7,8,13,17,14,13,12,11,15,9,11,13,11,14,18
8,4,5,5,3,1,3,6,8,7,4,6,8,8,8,10,10,9,6,6,14,16,14,13,13,9,13,10,11,13,10,14,16
9,6,6,4,5,3,1,4,6,5,2,5,7,7,6,11,12,10,7,6,14,15,14,13,14,9,11,10,9,12,8,12,14
12,9,7,3,7,6,4,1,4,5,4,8,9,9,7,14,13,11,10,9,18,17,14,14,14,12,13,10,7,10,9,9,15
13,11,9,5,9,8,6,4,1,4,5,8,9,9,6,15,15,13,11,10,19,16,17,16,16,12,13,12,7,11,8,8,13
13,10,9,7,9,7,5,5,4,1,4,7,7,6,3,15,15,12,11,9,18,13,16,15,16,11,10,12,10,14,5,10,12
9,7,7,5,6,4,2,4,5,4,1,4,5,5,5,11,13,11,7,5,15,13,15,14,15,7,9,11,9,13,7,11,13
8,7,11,9,9,6,5,8,8,7,4,1,5,7,7,10,13,13,6,4,14,13,18,17,15,6,11,14,13,16,10,14,16
11,9,12,10,10,8,7,9,9,7,5,5,1,3,6,13,15,14,9,7,16,10,19,18,17,7,8,15,14,17,8,14,14
12,10,12,10,10,8,7,9,9,6,5,7,3,1,5,14,16,15,10,8,17,10,19,18,19,8,7,15,14,17,6,13,12
13,11,10,7,9,8,6,7,6,3,5,7,6,5,1,15,16,13,10,9,18,12,17,16,17,10,9,13,11,15,4,10,11
6,7,8,13,9,10,11,14,15,15,11,10,13,14,15,1,3,6,8,9,7,18,11,12,6,12,17,10,17,16,18,21,24
9,7,8,12,10,10,12,13,15,15,13,13,15,16,16,3,1,5,10,11,9,21,10,11,6,14,19,9,16,15,18,20,24
10,7,6,9,8,9,10,11,13,12,11,13,14,15,13,6,5,1,11,12,12,21,9,10,7,15,20,6,14,12,15,17,21
6,5,9,10,7,6,7,10,11,11,7,6,9,10,10,8,10,11,1,4,11,14,16,17,12,7,13,14,15,17,13,17,19
7,6,10,9,8,6,6,9,10,9,5,4,7,8,9,9,11,12,4,1,12,12,17,18,13,6,11,15,14,17,11,16,18
9,11,13,17,13,14,14,18,19,18,15,14,16,17,18,7,9,12,11,12,1,22,10,14,7,15,20,15,21,20,21,25,27
16,15,19,17,17,16,15,17,16,13,13,13,10,10,12,18,21,21,14,12,22,1,26,26,23,12,7,23,21,25,10,19,12
14,12,11,13,14,14,14,14,17,16,15,18,19,19,17,11,10,9,16,17,10,26,1,6,6,20,24,10,17,14,19,21,25
16,13,10,12,13,13,13,14,16,15,14,17,18,18,16,12,11,10,17,18,14,26,6,1,10,21,23,6,14,9,18,17,24
11,10,10,13,12,13,14,14,16,16,15,15,17,19,17,6,6,7,12,13,7,23,6,10,1,16,21,10,17,15,19,21,25
10,9,13,12,11,9,9,12,12,11,7,6,7,8,10,12,14,15,7,6,15,12,20,21,16,1,11,18,17,20,12,17,19
15,14,16,14,15,13,11,13,13,10,9,11,8,7,9,17,19,20,13,11,20,7,24,23,21,11,1,19,18,22,7,16,12
13,10,7,9,9,10,10,10,12,12,11,14,15,15,13,10,9,6,14,15,15,23,10,6,10,18,19,1,11,8,15,15,21
16,12,10,7,11,11,9,7,7,10,9,13,14,14,11,17,16,14,15,14,21,21,17,14,17,17,18,11,1,9,13,9,16
18,14,12,9,13,13,12,10,11,14,13,16,17,17,15,16,15,12,17,17,20,25,14,9,15,20,22,8,9,1,17,11,19
15,13,12,10,11,10,8,9,8,5,7,10,8,6,4,18,18,15,13,11,21,10,19,18,19,12,7,15,13,17,1,11,8
19,16,14,10,14,14,12,9,8,10,11,14,14,13,10,21,20,17,17,16,25,19,21,17,21,17,16,15,9,11,11,1,13
22,19,18,16,18,16,14,15,13,12,13,16,14,12,11,24,24,21,19,18,27,12,25,24,25,19,12,21,16,19,8,13,1
